Message,Summary_T5_1,Summary_T5_2,Summary_Bart
"Hi I was wondering something about my membership, I'm a platinum and the page says I get luggage tags. When should I expect them? Ah, that sucks. I like having those brag tags. JXB414439    N Settlers Blvd Tallahassee FL Jonathan Butirro Hi I was wondering if it was possible I could report a property I stayed at recently. Hope this helps since pictures are also included
Reservation is  stayed Jul -6
I'd also like to add that I didn't get recognized as a Choice Platinum member and when I tried to get an extended checkout they didn't answer the phone or come to the front desk. "" wasn't expecting much in the first place, but when I walked into the room it felt like a jail cell with the lighting, nothing on the walls, the ""closet"" is placed in an area where you can hit your head on it, shower curtain is moldy, toilet had some questionable things on it, TV didn't work at first, and there's hair everywhere.
I've stayed at many Choice Hotels properties but this is the lowest I've given one."" Dirty light Stains on curtain  Sure, I'll take the k points.",JXB414439 N Settlers Blvd Tallahassee FL Jonathan Butirro Hi I was wondering if it was possible I could report a property I stayed at recently. When I tried to get an extended checkout they didn't answer the phone or come to front desk.,thatsucks iâ like getting luggage tags hotel room,"Hi I was wondering something about my membership, I'm a platinum and the page says I get luggage tags. When should I expect them? Ah, that sucks. I like having those brag tags. JXB414439    N Settlers Blvd Tallahassee FL Jonathan Butirro Hi I was explaining if it was possible I could report a property I stayed at recently. Hope this helps since pictures are also included
Reservation is  stayed Jul -"
"This Comfort inn sign is not making me very comfortable! Can someone fix this this crooked sign off I-95 in North Carolina!  Bud Hawkins Road Dunn Nc  Your outside sign pole is very crooked could possibly fall on a car during bad summer storm.  Off I-95 you could see it in Dunn, NC .",Can someone fix this crooked sign off I-95 in North Carolina?,comfort inn sign crooked offi-95 north us,"This Comfort inn sign is not making me very comfortable! Can someone fix this this crooked sign off I-95 in North Carolina!  Bud Hawkins Road Dunn Nc  Your outside sign pole is very crooked could possibly fall on a car during bad summer storm.  Off I- 95 you could see it in Dunn, NC."
"Good morning.  I want to file a report about a poor stay experience at the Clarion Inn in Appleton, WI this past Friday.  First the air conditioning didn't run consistently.  In addition neither my brother or I slept very well because of the beds being uncomfortable.  Also the parking lot there is very small. Also I used  Choice Privileges points for this stay.  Not what we expected at all. DJN-03311  E th St Marshfield, WI   -451-4166 Thank you for responding.  We have stayed approximately  times in the last year with Choice hotels.  We are looking for % satisfaction this isnt anywhere near that. If that is the thought for the fact that I used  Choice Privileges points what would the thoughts be about returning some of those points to my account? I have emailed the general manager and he didn't respond at all.  Are you able to send him communication to have him contact me?","DJN-03311 E th St Marshfield, WI -451-4166 Thank you for responding. We have stayed approximately times in the last year with Choice hotels.",poor stay choice hotels parking lot small says guest,"Good morning.  I want to file a report about a poor stay experience at the Clarion Inn in Appleton, WI this past Friday.  First the air conditioning didn't run consistently.  In addition neither my brother or I slept very well because of the beds being uncomfortable.  Also the parking lot there is very small. Also I used  Choice Privileges points for this stay.  Not what we expected at all. DJN-03311  E th St"
How can I leave reviews for my stays on your site?,How can I leave reviews for my stays on your site?,how can i leave reviews stay on your site,"How can I leave reviews for my stays on your site? 
||How canI leave reviews of my stays in your site?!.How can we leave reviewsFor my stays-your site?What can I leaving reviews for our stays on you site?"
"Do not book through a third party at all if you think you may need to cancel during the pandemic. They do not want to give refunds!! Kandy Rosier Stoehr yea, they did me the same way. Refused to give me a refund. I have reached out to managers by phone and email, with NO response I guess I don't get a reply from them!! Choice Hotels Is refusing to give refund, Travelocity reached out to them and the hotel denied the request. This is in response to Jendy. My name is Patricia Drum. My reservation number is  for a December th stay at the Quality Inn Suites/Airport in Hollywood Florida. The hotel is refusing to give a refund that I booked with Travelocity. I needed to cancel because my cruise has been cancelled. Dear Patricia,

We have coordinated your case with Quality Inn & Suites Airport/Cruise Port South and due to their policy in relation to your reason for requesting a refund for your reservation, they have denied your request.
E-mail from Travelocity. No, this is not satisfactory to me. This is heartless and ridiculous and I will NEVER book with ANY Chioice Hotel in the future!!! This is very poor business and will let everyone on social media know this!!!! Just hope that you never have a problem with a refund because the ONLY person at a hotel that can rectify that won't return phone calls or e-mails!","Choice Hotels is refusing to give a refund that I booked with Travelocity. This is in response to Jendy Drum, my name is Patricia Drum. She needed to cancel because her cruise has been cancelled.",donâât book via third party if youââre going pandemic hotel,"Do not book through a third party at all if you think you may need to cancel during the pandemic. They do not want to give refunds!! Kandy Rosier Stoehr yea, they did me the same way. Refused to give me a refund. I have reached out to managers by phone and email, with NO response I guess I don't get a reply from them!! Choice Hotels Is refusing to give refund, Travelocity reached out of them and the hotel"
Is the pool open in houghton mi quality inn,Is the pool open in houghton mi quality,pool open houghton mi quality inn,"Is the pool open in houghton mi quality inn.Is the pools open in Houghtonmquality inn 
-is the poolopen inHoughtonmi quality inn is the poolOpen in hOUGHtonm Quality inn. Is the pool opened in hughtonm quality inn"
"Is there a way to transfer my points to my wifes account?  We dont use my Choice account, so wed rather just keep everything on hers.  During our last stay they put my name and rewards number down instead of hers, even after I requested it to be done on hers, and now I have points in my account I cannot use. My Choice privileges number is BMC5745.    Dogwood Drive, Dover, TN  -930-5745
June  - July 
Her name is Ashley Cavanaugh and her number is AMC5745. 

I had asked that the room be booked under her name and account because we dont use my account.","We don't use our Choice account, so wed rather just keep everything on hers. During our last stay they put my name and rewards number down instead of hers.",cant transfer points my wifes account despite request,"Is there a way to transfer my points to my wifes account?  We dont use my Choice account, so wed rather just keep everything on hers.  During our last stay they put my name and rewards number down instead of hers, even after I requested it to be done on hers, and now I have points in my account I cannot use. My Choice privileges number is BMC5745.    Dogwood Drive, Dover, TN  -930-5745"
"i had just made a new reservation over the phone and specifically told the agent the reservation for our room need to be able to be  cancelled  and i went on my phone  to check my account and reservation and the reservation it not able to be CANCELLED and ive already  had a very difficult time trying to utilize my reward points that i had lost half of and now i have NO Way of using them for the rooms we stay at 

i just want my card refunded and the reservation cancelled  PLEASE please have someone contact me regarding my account....... i need help with a reservation that was made over the phone with one of your agents trying to get a representative to help me with a reservation that was made over the phone with an agent   /19/20 
gold miners inn 
grass valley ca 
 
  springhill dr 
pittsburg ca ",Gold miners inn springhill dr pittsburg ca is located in the heart of the gold mining industry. The area is home to some of the world's most famous gold miners. It has been a difficult time for the miners to utilize their reward points that i had lost half of and now i have NO Way of using them for the rooms we stay at.,iââm trying get my reservation cancelled phone,"i had just made a new reservation over the phone and specifically told the agent the reservation for our room need to be able to be  cancelled  and i went on my phone  to check my account and reservation and the reservation it not able to get CANCELLED and ive already  had a very difficult time trying to utilize my reward points that i had lost half of and now i have NO Way of using them for the rooms we stay at 

i just want"
" your hotel in Madison (John Q) is filthy, parties in the parking lot at all hours, kids playing on scooters in parking lot, doors propped open, people lined up inside by rooms admitting they arent guests, just sketchy and gross. Hot tub still broken yrs later.  sure, now that housekeeping i am still travelling, thankfully at county inn and suites. whew! Saturday July , check out .  John q Hammond drive in Madison. Sorry broken hot tub, stayed a second time because of a booking error and had a broken bed. People hanging out and even using scooters in the parking lot.xonfirmation number . Musty too","The hot tub still broke yrs later. Check out John q Hammond drive in Madison, Wisconsin. Hot tub still broken yrs later.",hotel rooms dirty kids play scooters parking lot," your hotel in Madison (John Q) is filthy, parties in the parking lot at all hours, kids playing on scooters in parking lot, doors propped open, people lined up inside by rooms admitting they arent guests, just sketchy and gross. Hot tub still broken yrs later.  sure, now that housekeeping i am still travelling, thankfully at county inn and suites. whew! Saturday July, check out.  John q Hammond drive in Madison. Sorry"
" gave me a ""refund"" I am entitled to, but when I actually looked at my credit card statement, they'd given me a refund and then deducted a larger amount than the refund, stealing money from me for no valid reason Re: I have a support reference # of  - does this help? I can be reached at   . Thanks. Im not sure I feel completely comfortable giving out full personal details over a twitter message but happy start with my name. Its Yuri Yamaguchi. If youre actually looking at my email youll see that its very similar to my Twitter handle.  Sasamat Lane North Vancouver BC  Thank you for following up. Somebody on the support line actually did issue me a refund. However it seems they also made a similar amount charge for each refund, which actually exceeded the amount of the refund. As a result, I am still not refunded and theres actually been additional charges. The support person sent me PDFs of the refund details when they issued it. It actually looked like there were new charges so I asked about it and they said not to worry, Ill see it reflected in my credit card in a few days. Sure enough, a few days later my credit card showed a net debit. Thank you, I will try taht.","Yuri Yamaguchi was given a ""refund"" when she looked at her credit card statement. But they'd actually deducted a larger amount than the refund, stealing money from me. As a result, I am still not refunded and theres actually been additional charges.",yuri Yamaguchi gets refund via email shows new charges," gave me a ""refund"" I am entitled to, but when I actually looked at my credit card statement, they'd given me a refund and then deducted a larger amount than the refund, stealing money from me for no valid reason Re: I have a support reference # of  - does this help? I can be reached at  . Thanks. Im not sure I feel completely comfortable giving out full personal details over a twitter message but happy start with my name. Its Yuri"
" it's :15 am & I've been in my room  for near  minutes. At about :50 pm I was at your hotel across the street. Your clerk said I couldn't check in cuz it was after midnight. I pointed out it wasn't. She shrugged & directed me to here. Just sayin.  It was outside St. Louis in Hazelwood. Not gonna DM you. My wife has stayed at that one and said the  was cheaper and nicer. Will stay there next time we go see our son. We are Choice members and will stay with yall other places, just not there.",The hotel was outside St. Louis in Hazelwood. My wife has stayed at that one and said it was cheaper and nicer.,clerk asks us to check in hotel says later,It's :15 am & I've been in my room  for near  minutes. At about :50 pm I was at your hotel across the street. Your clerk said I couldn't check in cuz it was after midnight. I pointed out it wasn't. She shrugged & directed me to here. Just sayin.  It was outside St. Louis in Hazelwood. Not gonna DM you. My wife has stayed at that one and said the  was cheaper and nicer
"I was supposed to get a credit for one day from July th from my recent stay in Hill City SD. I dont see the credit on my credit card yet. I already spent  minutes yesterday waiting on hold for a customer care team member. Reservation under Benjamin Talbot credit card ending in  Comfort Inn and Suites near Mt. Rushmore. I dont have the confirmation number, but the phone number on the reservation is -835-1756 This credit is because I originally booked checkout on the th, but changed it to the th  hours in advance. The clerk at the hotel that night said I would get a credit for a day Confirmation R2012512703 My parents got their refund, so I should be getting one I was in Sioux Falls on the th. You can check that, so I shouldnt have to pay for two rooms when I gave  hour notice They didnt give me a receipt. R2012512703 Is my confirmation number where I cancelled a day. Sioux Falls is valid","I was supposed to get a credit for one day from July th from my recent stay in Hill City SD. The clerk at the hotel that night said I would get a credit for a day Confirmation R2012512703 My parents got their refund, so I should be getting one I was in Sioux Falls on the th.",didnt see credit on my reservation phone number yet,"I was supposed to get a credit for one day from July th from my recent stay in Hill City SD. I dont see the credit on my credit card yet. I already spent  minutes yesterday waiting on hold for a customer care team member. Reservation under Benjamin Talbot credit card ending in  Comfort Inn and Suites near Mt. Rushmore. I doesnt have the confirmation number, but the phone number on the reservation is -835-1756 This credit is because I"
"Stayed at one of your hotels in Clarksville Tennessee on Saturday. Very dissatisfied with the customer service and lack of COVID-19 precautions. No masks being worn, no hand sanitizer, lobby and elevator were absolutely disgusting. Front desk staff and management were no help at all and had every excuse from I dont actually work here to our hand sanitizer is on back order Oh, and the best excuse for no masks being worn was that there was no one around.
Needless to say, I am extremely disappointed and will not stay again. Grettel,
You asked me to send you some additional information about my recent stay in Clarksville, Tennessee.

Name: Jana White
Date of stay:July ,2020
Hotel Name: Sleep Inn
Confirmation number:  We appreciate the prompt reply and your help and concern. Unfortunately, we are not members of choice privileges. Sorry, weve been on the road heading home without internet.
I would like to accept your offer. 

Jana White
(816) -8678
  Marcella Terrace 
North Port, FL 

Again, thanks for your quick response to our concerns.","Jana White stayed at one of your hotels in Clarksville, Tennessee on Saturday. She was very dissatisfied with the customer service and lack of COVID-19 precautions. Front desk staff and management were no help at all and had every excuse from I dont actually work here to our hand sanitizer is on back order.",hotel staff leave us without masks sanitizer elevator,"Stayed at one of your hotels in Clarksville Tennessee on Saturday. Very dissatisfied with the customer service and lack of COVID-19 precautions. No masks being worn, no hand sanitizer, lobby and elevator were absolutely disgusting. Front desk staff and management were no help at all and had every excuse from I dont actually work here to our hand sanitizeder is on back order Oh, and the best excuse for no masks being flown was that there was no one around.
"
Nice clean place and the ice machine worked.,Nice clean place and the ice machine worked.,clean place ice machine worked,"Nice clean place and the ice machine worked. 
-tthumbnails-gallery|nice clean place/the ice machine works.Nice clean case and theice machine worked,000 clean place of the ice machines worked. Nice clean place:500 clean place or the ice Machine worked."
"Hello. As I mentioned before, I've stayed exclusively at Choice hotels on a trip for the past six weeks. So I was hoping you could again double-check and make sure that all my points have been applied. Also, as you know, many amenities have been unavailable at the hotels despite the full price being applied. So I was wondering if you could provide me with some additional points as compensation for that.

Member number: MXT55972

Other information: 
  Glenwood Way
West Caldwell, NJ 


   ","Guests at Choice Choice hotels have been staying exclusively at Choice hotels for the past six weeks. Member number: MXT55972 Other information: Glenwood Way West Caldwell, NJ. Member number: MXT55972",stayed exclusively at Choice hotels 6 weeks,"Hello. As I mentioned before, I've stayed exclusively at Choice hotels on a trip for the past six weeks. So I was hoping you could again double-check and make sure that all my points have been applied. Also, as you know, many amenities have been unavailable at the hotels despite the full price being applied. SoI was wondering if you could provide me with some additional points as compensation for that.

Member number: MXT55972

Other information:"
"Worse experience ever at Comfort Suites in Abilene, TX. Never again. Must be owned by foreigners. Choice Hotels Ive been wanting to do this. Yes I will be in touch. JE (possibly Jeremiah) told me to private message about an unhealthy experience at Comfort Suites in Abilene TX on June ,10 . We were on the th floor and the Sewer Vent was knocked off allowing sewer gas to fill the room. The air conditioner was not cooling. My adult son,  year old grandson and myself woke up about :00 gaging for air, headache, dizziness and nauseated. My son called the lobby but  we were not offered to change rooms or any concern for our health. I went to the lobby and told the clerk we would be spending the rest of the night in the lobby or truck. I should have called the fire department but didnt. She called the manager and we were sent to another room with only one bed and a very uncomfortable couch. That morning at :15 we checked out but were charged for the room. No offer to reimburse. I should have called the fire department. I will message back. Ill ask him. I agreed 
My choice privilege number is MXH122712
 -288-8061 Thank you for checking this out. I know  is hard on all of us. Miles Hicks,  CR , Kaufman, TX  Thank you.","JE told me to private message about an unhealthy experience at Comfort Suites in Abilene, TX on June,10. The Sewer Vent was knocked off allowing sewer gas to fill the room. My adult son, year old grandson and myself woke up about :00 gaging for air, headache, dizziness and nauseated.",worst experience hotel owned foreigners jeremiah,"Worse experience ever at Comfort Suites in Abilene, TX. Never again. Must be owned by foreigners. Choice Hotels Ive been wanting to do this. Yes I will be in touch. JE (possibly Jeremiah) told me to private message about an unhealthy experience at Comfort Seites inabilene TX on June,10. We were on the th floor and the Sewer Vent was knocked off allowing sewer gas to fill the room. The air conditioner"
"On July th, when I first arrived at the Rodeway Inn in Augusta, GA it was stressed that it was a non smoking establishment and there would be a considerable fee if caught smoking. I am pregnant and do not smoke anyway so that wouldnt be an issue. Upon getting to my room it immediately smelt like smoke and there were ashes on the night tables and carpet. I called to the front desk and they moved me to another room. My husband and I unloaded our things then went to go get pizza and brought it back to the room. While eating the pizza I happened to look in the corner of the room and saw a dead roach carcass. As this was a clear indication this establishment was not up to par with cleanliness and sanitation and being pregnant I did not want to stay any longer and asked for a refund. I was RUDELY told since I had been there several hours (2 hours and most of it was out getting pizza) I would not get a refund. I was also not checked out even though I left and wanted a check out receipt. I was told the system could not check me out until the next day. I am in the United States Air Force and I was staying because my air conditioning went out and would be repaired the next day. I am extremely unsatisfied and this is the second time Choice Hotels have not been up to standards. I called Choice Hotels customer service and all that was done was to file a formal complaint. I feel I should receive a refund or I would like to see the manager on duty that day penalized. I will never stay at a Choice Hotels location ever again because of my poor treatment and I will be informing my unit of said treatment I received and they will inform other service members in the area not to go to this establishment. Until something is done or I am contacted regarding this matter I will take my story to all social media and I will recount my past Choice Hotels experience as well, which I had not complained about and did not leave a review. Hello thank you for responding. The confirmation number was  and the name is Brittany Willing","The Rodeway Inn in Augusta, GA was stressed that it was a non smoking establishment and there would be a considerable fee if caught smoking. Brittany Willings is extremely unsatisfied and this is the second time Choice Hotels have not been up to standards. Willings will never stay at a Choice Hotels location ever again because of my poor treatment.",didnt get a refund hotel staff told check me out,"On July th, when I first arrived at the Rodeway Inn in Augusta, GA it was stressed that it was a non smoking establishment and there would be a considerable fee if caught smoking. I am pregnant and do not smoke anyway so that wouldnt be an issue. Upon getting to my room it immediately smelt like smoke and there were ashes on the night tables and carpet. I called to the front desk and they moved me to another room. My husband and I unloaded our things"
" the comfort inn in Panama City Florida was not abiding by CDC Guidelines, and would not allow me to cancel my reservations. Do not recommend staying there. Kevin Davidson 

CONFIRMATION NUMBER:Room :  

Comfort Suites Panama City near Tyndall AFB   Night(s),  Room(s)

CHECK-IN:Friday, July ,  (03:00 PM)
CHECK-OUT:Sunday, July ,  (11:00 AM)

I contacted Priceline and they told me the hotel denied a cancellation for tonights stay. Thank you.",Priceline said it denied a cancellation for tonight's stay. The hotel was not abiding by CDC guidelines.,hotel denies canceled bookings violates CDC guidelines,"The comfort inn in Panama City Florida was not abiding by CDC Guidelines, and would not allow me to cancel my reservations. Do not recommend staying there. Kevin Davidson 

CONFIRMATION NUMBER:Room :  
ヘComfort Suites Panama City near Tyndall AFB   Night(s),  Room(s)

CHECK-IN:Friday, July,  (03:00 PM)
CHECK/OUT:Sunday, July... "
"Quality inn in Rochester Minnesota. Employees arent wearing masks. It has been mandated in this city and now officially in the entire state of Minnesota. Health dept has been contacted. Lawyers next Unless your company enforces the rules Photos coming soon Maybe more/better signs could help, especially in the hallways","Health dept has been contacted. Lawyers next Unless your company enforces the rules Photos coming soon Maybe more/better signs could help, especially in the hallways.",us inn employees wear masks safety,"Quality inn in Rochester Minnesota. Employees arent wearing masks. It has been mandated in this city and now officially in the entire state of Minnesota. Health dept has been contacted. Lawyers next Unless your company enforces the rules Photos coming soon Maybe more/better signs could help, especially in the hallways"
"Hello,  how can I make a formal complaint about a hotel and their manager? We booked our stay through Priceline.  We got to the hotel and it wreaked of smoke.  The place was filthy and the staff was not wearing masks,  as mandated by the Governor of Ohio, due to the Covid  pandemic.  The front staff worker was rude. They tried to charge us extra for our children. We actually inquired about a second room but the worker refused to give us the Priceline price.  He sad Priceline is just trying to get their cut,  repeatedly.  I said we could easily book it on Priceline, but just decided to leave.  We immediately walked out,  without getting a room key and called Priceline to cancel,  literally minutes after booking. Wet did not feel comfortable staying there.  Priceline said they needed to call the hotel,  while I waited.  They got back on the line and said the worker refused to cancel our reservation and that the Priceline agent would have to call the manager in the morning.  I waited until afternoon and hadn't gotten a call back,  so I called Priceline.  The agent called the manager and was told that the manager would not cancel our reservation,  give a refund or make any concessions. I decided to call and speak to the manager and try to explain the situation. I was calm and never raised mmt voice. I was absolutely shocked by the response I received. I explained the situation and was told to hold on,  several times, before he got back on the line and told me, you need to speak to Priceline,  they need to cancel it.  I tried to attempt to tell him Priceline told me that he had to approve the cancellation,  emphasizing that his staff was rude and wasn't obeying the law,  regarding the pandemic. He then hung up on me.  I called him back and he said,  ""what do you want me to do?"" I said I'd like a full refund. He said no,  Priceline told us not to cancel.  I told them I called Priceline within minutes of booking to cancel and that his staff member refused.  I told him we never even got a room key.  He then began to yell and cuss at me.  I told him I'd report him to corporate for not complying with Covid  protocols.  He then told me ""we don't give a damn about Covid  protocol,  we don't give a damn about you! Call the police,  call the governor,  call corporate, we don't give a damn! You're paying! Toy deal with Priceline,  Ideal with Priceline. Do not call me again!"" He then hung up on me a second time.  Is this the type of service your hotels provides??? I am appalled! It was Quality Inn Huron,  W Cleveland Rd E, Huron, OH  the manager's name was Chris. The name in the reservation is Elizabeth Ginther.  It may say Libby Ginther. Nothing I can think of","The Covid pandemic wreaked havoc on the hotel and its staff. Priceline's manager refused to cancel our reservation, she says. She calls Priceline to explain the situation.",call corporate if you want us cancel stay hotel worker,"Hello,  how can I make a formal complaint about a hotel and their manager? We booked our stay through Priceline.  We got to the hotel and it wreaked of smoke.  The place was filthy and the staff was not wearing masks,  as mandated by the Governor of Ohio, due to the Covid  pandemic. The front staff worker was rude. They tried to charge us extra for our children. We actually inquired about a second room but the worker"
"In October , we stayed at a Comfort Inn & Suites.  When we checked out we forgot to sign up for the free Choice Privilege Rrwards.  Can we still sign up and earn those points now or do you have to do it before you leave after checking out? In October , we stayed at a Comfort Inn & Suites.  When we checked out we forgot to sign up for the free Choice Privilege Rrwards.  Can we still sign up and earn those points now or do you have to do it before you leave after checking out? After staying at the Comfot Suits, in October , I did not sign up  for the rewards program before we checked out.  Thus, we are not currently enrolled in the program and do not have a member number.  Can I enroll now and still receive the   points from the Choice Privilege reward program for the hotel stay last October? Thanks for your response!  The next time we stay at a Choice Hotel we will be sure to enroll in the program.","In October, we stayed at a Comfort Inn & Suites. When we checked out we forgot to sign up for the free Choice Privilege Rrwards. Can we still sign up and earn those points now or do you have to do it before you leave after checking out?",can we still sign up and earn points if you leave hotel,"In October, we stayed at a Comfort Inn & Suites.  When we checked out we forgot to sign up for the free Choice Privilege Rrwards.  Can we still sign up and earn those points now or do you have to do it before you leave after checking out? In October,We stayed ata Comfort Inn / Suites,  When We checked out he forgot to spend up forthe free ChoicePrivilege R rwards. M Can we already sign up"
"https://www.facebook.com/100002317236297/posts/3153220488098495/?sfnsn=mo

So disappointed for a room that was almost $200.... Hello, I just received a comment from my review on Grand Haven, MI Rodeway Inn.  Unfortunately I wasn't given a confirmation number or receipt (I had to reserve this room over the phone as the website wasn't allowing the reservation to go through) but the name on the reservation was Carissa Stroh, we checked in on /24/2020 and checked out the following morning. Please let me know if there is any other information I can provide. I also took some photos the morning before leaving the room, most spills and things we had already cleaned up but you can still see plenty of what went wrong. :( I would like to also say though, how positive our experience was at Quality Inn in Hudsonville, MI the following day-the woman at check-in was very kind and the room seemed very clean! (That one was reserved online #60809040) Thank you so much for the follow up, I appreciate the offer and would accept the points of course. To make it a little easier I just signed up, my member number is CLS2141 phone -819-2141 email  and my address is  Reeck Rd Apt  Woodhaven, MI  Thank you again!! I actually do have one question, now that I'm on the rewards program I was looking into adding those previous stays, is there any way to add the previous stay without the confirmation number, since I don't have it?","Carissa Stroh and her family booked a room at Quality Inn in Hudsonville, MI. They checked in on /24/2020 and checked out the following morning.",disappointed forââs room booking website fails find number,"https://www.facebook.com/100002317236297/posts/3153220488098495/?sfnsn=mo

So disappointed for a room that was almost $200.... Hello, I just received a comment from my review on Grand Haven, MI Rodeway Inn.  Unfortunately I wasn't given a confirmation number or receipt (I had to reserve this room over the phone as the website wasn't allowing the reservation to go through) but the name"
Wyndham Rewards is better. They give more points for hotel stays and they have discount member rates  Im happy my feedback motivates you to provide better service ,Wyndham Rewards is better. They give more points for hotel stays and they have discount member rates Im happy my feedback motivates you to provide better service.,Wyndham rewards is better gives points hotel stays,"Wyndham Rewards is better. They give more points for hotel stays and they have discount member rates  Im happy my feedback motivates you to provide better service. W
-w|Wyndaham Rewards are better.WyNDham Rewards was better.They give more things for hotel stay and they will discount member rate  ImHappy my feedback motivateates you're better. He give more members for hotel trips and they gave discount member Rates "
"I know businesses are going through a hard time. But i think all hotels should have flexible bookings right now. Things change daily during a pandemic and at least credit my account to use at a later date if you cant refund me. Will be avoiding Choice hotels for while  Thank you for offering to review my concern. I have already emailed the contact page and received the answer that I was not able to receive a refund because I wanted to save money and paid in advance. I totally understand I chose to do that. Just seems that other hotels are still flexible with their typical nonrefundable rates due to the pandemic and limited travel. My friend had to cancel her wedding that had a room block at Comfort Inn and Suites in Fremont, Ohio (Beane/Harpring) that was scheduled for /7-8/9 due to travel restrictions where they would be coming from. I had originally booked with the block, but when found out it was cheaper for me as a member to book in advance and also get a king bed instead of two queen beds, we canceled the block room and rebooked with confirmation number . It would be great to have an account credit to use at a later date when I have a reason to travel. But even if nothing can be done for me, I would at least like the room to be released so the hotel isnt waiting for us/someone else could use the room. Thanks.","'I think all hotels should have flexible bookings right now. Things change daily during a pandemic and at least credit my account to use at a later date if you cant refund me,' he says. He has already emailed the contact page and received the answer that I was not able to receive a refund because I wanted to save money and paid in advance.",hotels need flexible bookings post pandemic,I know businesses are going through a hard time. But i think all hotels should have flexible bookings right now. Things change daily during a pandemic and at least credit my account to use at a later date if you cant refund me. Will be avoiding Choice hotels for while  Thank you for offering to review my concern. I have already emailed the contact page and received the answer that I was not able to receive a refund because I wanted to save money and paid in advance. I
I had the worst experience trying to book a reservation.  Supervisor told me that she could only give me  points for over  hours on the phone straightening a mess out. Terrible service My reservation was placed under another individual with my contact info. I had to be on the phone for over an hour with a supervisor to clear this up. ,Supervisor told me that she could only give me points for over hours on the phone. Terrible service My reservation was placed under another individual with my contact info.,supervisor told me give points phone messing out,I had the worst experience trying to book a reservation.  Supervisor told me that she could only give me  points for over  hours on the phone straightening a mess out. Terrible service My reservation was placed under another individual with my contact info. I had to be on the police for over an hour with a supervisor to clear this up. 
Need a room for a week how much,Need a room for a week how,need a room for a week,"Need a room for a week how much -needed-need- need a room of a weekHow much.Need aRoom for a year how much ""c||Need a Room for a month how much,000|Need a rooms for a night how much"
"I'd like to report on my recent stay at a Choice Hotel.  I would contact through the website, where I am a Choices Member, but the site will not recognize my user name or e-mail address.  I attempted to sign up again, but it says my email address is already in use, even while not recognizing it. I spent  of the last  nights at the Comfort Suites in Exton, PA.  This is the hotel chosen by my employer for all employees in this area.  Perhaps no longer, after I speak with them.  Frankly, it's the first time I have spent time at a hotel where I felt unsafe. I'll detail some reasons I felt that way.  (1) there appears to be people living in a car in the parking lot.  Maybe not, but call it what you will.   or  people, laying across the car seats with all four doors open, for hours and hours on end, the car surrounded by the trash they are throwing on the ground. A man getting off the elevator with three luggage carts, totally bereft of luggage.  They were piled with loose bedding, dirty clothing, household supplies, and no less than three slow cookers with crusted dried material all over them.  The man was in no better repair than his belongings.... Torn shirt and dirty torn shorts. Now, in the front of the building, parked directly in front of the lobby, a young man in a car.  Her's parked there, during my stray, /7.  I am staying for work, and left the hotel before am each day.  He was there, in his car, on his phone.  Back at various times for lunch in my room.... he was there.  Back for the night by pm, and he's there.  Always on his phone, and always staring at people coming and going.  What is he there for?  Who can say for sure, but I vote he's a freelance pharmaceutical salesman.  VERY freelance. On the other side of the hotel, there appeared the same woman day after day, near a propped open door.   Sitting, leaning on the wall, wandering, but never far from the door and always dressed haphazardly.  My whole stay, she could be found there perhaps every other time I drove past.  What is she doing?  Again, who can say, but I suspect she is a young lade of negotiable affection working from a hotel room.  Not in a high price bracket either. These little vignettes should illustrate my stay nicely.  Take them for what you will.  As for myself, I'll elect to stay elsewhere when my work requires it, even if it costs more. My name was on the reservation, on behalf of Universal Technical Institute.  I stayed there  nights last week and  nights this week.  The company puts instructors in that hotel often, and there's usually at least one or two staying at any given week day.   Beyond that, I see nothing else that I can say, nor anything you can do for me.  I don't intend to stay there again. I should also mention.... Our admin were under the impression they were a 'corporate account' and were being given discounted rates.  When I gave them screen shots of the rates I, as an individual, could get at any time.... they were somewhat perturbed.  All these years they have been paying MORE than average, not a discounted rate.  and  I have no issues because i do not intend to ever use that hotel again.   I'll assume this was a mindless automatic response programmed by an idiot.  Good luck in your future ventures.","The Comfort Suites in Exton, PA is the hotel chosen by my employer for all employees. Frankly, it's the first time I have spent time at a hotel where I felt unsafe. On the other side of the hotel, there appeared the same woman day after day.",a choice hotel employee leaves behind dirty cars,"I'd like to report on my recent stay at a Choice Hotel.  I would contact through the website, where I am a Choices Member, but the site will not recognize my user name or e-mail address.  i attempted to sign up again, but it says my email address is already in use, even while not recognizing it. I spent  of the last  nights at the Comfort Suites in Exton, PA.  This is the hotel chosen by my"
