Message,Product,Brand,Customer_Query,Problem,Brand_Actions,Brand_Reply,CaseNumber
customer asked hi. executive replied hi thanks for reaching out how can we be of assistance. customer asked philips india make more good and low price products for you customers. executive replied thanks for getting back to us starboy were sorry to hear that you feel this way but we appreciate and value your feedback if youre experiencing any issues with one of our products please feel free to reach out to us we will be more than happy to help hope to speak to you soon. executive replied hi just checking in to ask if we can still be of assistance feel free to reach out to us,one of our products,starboy,philips india make more good and low price products for you customers.,if youre experiencing any issues with one of our products,philips india make more good and low price products for you customers.,just checking in to ask if we can still be of assistance feel free to reach out to us,4393929
customer asked cod available. executive replied hi amit thank you for contacting us as you are looking for a body groomer we would like to inform you that philips is not directly dealing in selling we request you to kindly check the same at the online ecommerce platforms. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,body groomer,,cod available.,customer asked cod available.,philips is not directly dealing in selling,executive replied,4394464
customer asked philips india can u plz gv solution here as even i am having same issue. executive replied hi jyoti thanks for reaching out to us regarding your hair straightening brush make sure to flatten the selected section of hair between your fingers before placing the hair on the brush so that the hair is spread evenly across the brush let the hair sections cool down before you fingercomb the hair into its final style for longer lasting results you can also mist with hairspray we hope this helps feel free to reply if you have any further questions. customer asked ranjana gyanchandani yes same problem waste of money plz dont buy,hair straightening brush,philips,ranjana gyanchandani,yes same problem waste of money,flatten the selected section of hair between your fingers before placing the hair on the brush,executive replied,4394583
customer asked pp. executive replied hello nutan thanks for your question regarding our heated straightening brush you can find more information on this page feel free to reply if you have any questions. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. executive replied hi again thanks for being in touch with us we highly value feedback and would like to find out more about your experience with our service if you have minute to spare wed love to find out how we did,heated straightening brush,,heated straightening brush,heated straightening brush,heated straightening brush,executive replied,4395697
customer asked iwouldliketohaveone. executive replied hi sadie thank you for reaching out how can we help you. customer asked igotcopdhowcanigetone. customer asked igotcopdhowcanigetone. executive replied thanks for your reply sadie unfortunately we are unable to view the product which you are referring to could you let us know which product you are interested in and your country of residence we can then help you more effectively looking forward to your reply. executive replied hi sadie we were wondering if we can still be of assistance should that be the case feel free to reach out,igotcopdhowcanigetone.,,iwouldliketohaveone.,we are unable to view the product which you are referring to,should that be the case,executive replied hi sadie we were wondering if we can still be of assistance,4396170
customer asked i have just boughy and set up my phillips i have connected to internet logged on my google account and my amazon account and i want to use alexa how do i do it. customer asked on my home screen there is a microphone icon top right but when i click it and speak i get no response i have tried sayig alexa turn up volume and no response also cant make ok google work either. executive replied hi there thats because your remote control doesnt have a microphone i recommend that you use google home. customer asked ok same questionhow do i sue goofle home if the tv doesnt have a microphone,phillips,phillips,i have just boughy and set up my phillips,on my home screen there is a microphone icon top right but when i click it and speak i get no response,google,hi there thats because your remote control doesnt have a microphone i recommend that you use google home.,4396271
customer asked good morning i am wondering if you could send me the phone number or contact information for a contact that handles ecomm sales i am the director of merchandising for the kids division and would love to connect thank you kelly. customer asked the company i work for is zulily. executive replied hi kelly thank you for reaching out and for your interest we recommend contacting our dedicated team directly we hope this helps. customer asked thank you. executive replied you are more than welcome kelly,kids,,the company i work for is zulily.,customer asked the company i work for is zulily.,ecomm sales,we recommend contacting our dedicated team directly,4396370
customer asked hi there im trying to find out which type of power adapter i need for a multigroom series please thanks. executive replied hi dewars thank you for reaching out were happy to help you find what youre looking for can you please share a photo of the product details on the back of the handle so we can narrow our search looking forward to your reply. . executive replied thank you for sharing this dewars we have found this two power plugs that will fit your multigroom one and two we hope this helps. customer asked many thanks. executive replied its been a pleasure dewars we are always here if you have any further questions,which type of power adapter,,im trying to find out which type of power adapter i need for a multigroom series,im trying to find out which type of power adapter i need for a multigroom series,executive replied hi dewars thank you for reaching out were happy to help you find what youre looking for,executive replied hi dewars thank you for reaching out were happy to help you find what youre looking for,4396477
customer asked do you have a physical address i come come for the blade. executive replied hello evan apologies for the delayed response you can get it from carrefour supermarkets too or order here and we will deliver it to you. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,blade.,,do you have a physical address,you can get it from carrefour supermarkets too or order here and we will deliver it to you.,social media,order here and we will deliver it to you.,4396642
customer asked cena. executive replied potovana dragana kada kliknete na saznaj vie odmah ispod kratkog videa otvorie vam se naa stranica tu imate odreene ureaje po serijama i onda odaberete koji tano preiiva vas zanima opcija saznaj vie kada otvorite karakteristike za odreeni ureaj sa desne strane e vam sajt pokazati u kojim prodajnim objektima moete kupiti ureaj kliknite sve objekte koji su ponueni jer je cena razliita kod svih u zavisnosti od akcije koja se daje na dan kupovine vrlo lako moete uvek proveriti cene i biti u toku za ureaje za koje ste zainteresovani trenutna cena ureaja sa videa iznosi i to u tehnomaniji lep pozdrav,cena.,executive,cena.,preiiva,executive replied,executive replied,4396994
customer asked you should make hue christmas lights and decorations for trees i spend a fortune every year on different colour schemes for my tree if i had set of decorations that i could change the colour of each year life would be amazing philipshue alliwantforchristmasishue. executive replied hello thanks for taking the time to share your feedback we agree that would be a great idea we recommend reaching out to and sharing this with them already wishing you happy holidays on behalf of us. customer asked thank you so much philips hue products are easily the best in the market for lighting my life would be a lot worse without them,philips,philipshue,you should make hue christmas lights and decorations for trees,my life would be a lot worse without them,philipshue alliwantforchristmasishue.,hello thanks for taking the time to share your feedback,4398182
customer asked hi im derick from nairobi kenya how much do you sell body shave for men. executive replied hello dero we have shavers trimmers to suite your budget here and we will deliver you can also visit carrefour to get them. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,body shave for men.,,how much do you sell body shave for men.,budget,budget,we will deliver,4398574
customer asked good evening. . customer asked how can i buy this item please. executive replied good morning elisa thank you for your message and your interest in our infracare infrared lamp unfortunately however the product is no longer available in our online shop we can therefore only advise you to check if other retailers may still have the item in stock please feel free to let us know if you have any other questions we can assist you with kind regards your philips careteam. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,infracare infrared lamp,philips,how can i buy this item please.,the product is no longer available in our online shop,the product is no longer available in our online shop,executive replied,4399683
customer asked the paper instructions are horrible and next to impossible to read how do i know what blades are what is there a number somewhere or a letter whats the difference in the blades i dont want any hair so do i just not use any blades. executive replied hey rob thank you for your question depending on which model you decide to go for there are different attachments included for example the oneblade face razor comes with stubble combs mm for a oclock trim mm for a tight trim and mm or long stubble you are also free to use the oneblade without any attachments and just use the blade itself for a closer shave hope this helps feel free to let us know if you have any further questions or concerns,oneblade,,the paper instructions are horrible and next to impossible to read,paper instructions are horrible and next to impossible to read,depending on which model you decide to go for there are different attachments included,executive replied,4399977
customer asked dropped mine from sink height and never worked again. executive replied hey jimmy thank you for your comment what a shame that your toothbrush is no longer working allow us to take a closer look could you reach out to us through private messages and share a picture of the product details of your toothbrush hope to hear from you soon. executive replied hello jimmy we hope youre doing well if we can assist you with this kindly send us the requested information in a private message well be happy to help hope to speak to you soon,toothbrush,,dropped mine from sink height and never worked again.,dropped mine from sink height and never worked again.,what a shame that your toothbrush is no longer working,allow us to take a closer look,4400380
customer asked i love my xx large phillips airfryer but when i cook pork belly in it it really smokes is there some way to stop it please. executive replied hey pam thank you for reaching out to us wed be happy to assist how we can assist you best could you reach out to us through private messages and send us a picture of the product details of your airfryer additionally could you also share your country of residence hope to hear from you soon,airfryer,phillips,i love my xx large phillips airfryer,when i cook pork belly in it it really smokes is there some way to stop it please.,is there some way to stop it please.,executive replied,4400470
customer asked how much is it. executive replied hey patrick thank you for reaching out to us we would be happy to assist you here could you specify which product you are referring to awaiting your reply. customer asked kindly send me the link to purchase the philip shaving machine. executive replied thanks for your prompt response here is a link to all the available shavers on our shop hope this helps feel free to let us know if you have any further questions,philip shaving machine.,,kindly send me the link to purchase the philip shaving machine.,kindly send me the link to purchase the philip shaving machine.,send me the link to purchase the philip shaving machine.,hey patrick thank you for reaching out to us,4400494
customer asked i have called several times to see if i can get a update on the status of a replacement cpap registration is date of registration is. executive replied hi matt we are sorry to hear that you are having issues reaching our dedicated support team if you are unable to get through we would like to ask you to try again later please be assured that we are treating this matter with the highest possible seriousness and that we are dedicating significant time and resources to address this issue. customer asked ok,cpap,,i have called several times to see if i can get a update on the status of a replacement cpap,you are having issues reaching our dedicated support team,customer asked ok,executive replied hi matt we are sorry to hear that you are having issues reaching our dedicated support team,4400559
customer asked i have called several times to see if i can get a update on the status of a replacement cpap registration is date of registration is. executive replied hi matt we are sorry to hear that you are having issues reaching our dedicated support team if you are unable to get through we would like to ask you to try again later please be assured that we are treating this matter with the highest possible seriousness and that we are dedicating significant time and resources to address this issue,cpap,,i have called several times to see if i can get a update on the status of a replacement cpap registration,you are having issues reaching our dedicated support team,we are dedicating significant time and resources to address this issue,we are treating this matter with the highest possible seriousness and that we are dedicating significant time and resources to address this issue,4400559
customer asked im returning a recalled cpap these return shipping label has a blank for the rma to be filled in but nothing that says what an rma is or where to find it. executive replied thanks for reaching out whitney wed like to ask if you could consider reaching out to our colleagues via the information on the following page where you will also find more information about and updates on the public safety notice. customer asked ive already been there and cant figure out what number im looking for if you cant help me im sending it back without filling it out,cpap,cpap,im returning a recalled cpap,customer asked ive already been there and cant figure out what number im looking for if you cant help me,sending it back without filling it out,executive replied thanks for reaching out,4400564
customer asked where do i buy this is it rechargeable. executive replied hello john get it here and we will deliver to you you can also visit carrefour supermarkets to get one today. executive replied and yes it is. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked is this available in kenya and what is the price,rechargeable.,carrefour,is it rechargeable.,customer asked is this available in kenya,get it here and we will deliver to you,get it here and we will deliver to you,4400593
customer asked not enough strength in laser to remove thick and deep hair. executive replied hello diajavid thank you for your feedback we are sorry to hear you feel this way when used correctly lumea usually gives excellent results have you made sure your skin tone is compatible with the treatment please also always follow the suggested schedule and only use lumea on hairfree clean and dry skin if you need further advice wed be happy to help you further so feel free to contact us thank you,lumea,lumea,not enough strength in laser to remove thick and deep hair.,not enough strength in laser to remove thick and deep hair.,lumea usually gives excellent results,executive replied,4400810
customer asked cool but what is the product. executive replied hello daniel thanks for your interest philips sonicare is an electric toothbrush you can find more information on our products here we hope this helps. customer asked aw k i rekn in future make the thumbnail the full thing cause i seen the title and the thumbnail of lord knows what n carry on aye. executive replied well keep you suggestion in mind daniel thank you have a nice day,electric toothbrush,philips,electric toothbrush,customer asked aw k,philips sonicare is an electric toothbrush,electric toothbrush,4400813
customer asked is it possible to choose intensity of cleansing in this model or just cleansing mode if it is how many intensities are there please. executive replied hello no the philips sonicare protectiveclean only comes with brushing modes clean gum care and white if youre looking with vibration intensity settings you can check the philips sonicare protectiveclean feel free to send us a private message should you need further assistance have a good one,philips sonicare,philips,is it possible to choose intensity of cleansing,no the philips sonicare protectiveclean only comes with brushing modes clean gum care and white,no the philips sonicare protectiveclean only comes with brushing modes clean gum care and white,hello no,4400842
customer asked gil tunney i agree had to send mine off for evaluation and repair theyve had it now months and no clue when it will be returned in the meanwhile lincare replaced with liquid tanks that i hate. executive replied hi audrey we are sorry to hear that and we would like to do our best to assist you further and resolve this have you tried to reach out to our healthcare team already they will be able to give you updates on the status of your repair you can reach out to them via the following contact form or calling at we hope this helps,lincare,lincare,no clue when it will be returned,lincare replaced with liquid tanks that i hate.,lincare replaced with liquid tanks that i hate.,we would like to do our best to assist you further and resolve this,4400904
customer asked interested can you pls provide with the email id. customer asked or you can contact us through. executive replied hello thank you for reaching out can you please elaborate more on your request wed be happy to see how we can help thank you. customer asked looking for the jobs that are available for freshers. executive replied hello if you are interested in job positions open at philips please have a look at our career website there you can find all the position available at the moment good luck with it. customer asked sure thankyouuu,interested,philips,looking for the jobs that are available for freshers.,customer asked looking for the jobs that are available for freshers.,philips,executive replied hello thank you for reaching out,4400940
customer asked hello this is caroline from paytabs egypt paytabs is an online payment gateway company i wanted to know if you are interested in the services that we provide you can send pay links to your clients and they can pay online or integrating online payment to the website mobile application we can provide you with different payment methods like valu visa or mastercard etc as paytabs has lowest rates in the market and a high level of technology it will be great if you can share a contact number for more details thank you. executive replied thank you for reaching out you will be contacted if theres any chance for partnership thank you again,paytabs,,hello,paytabs egypt paytabs is an online payment gateway company,send pay links to your clients,thank you for reaching out you will be contacted,4401196
customer asked whats the price of chopper. customer asked from pakistan. executive replied hi aymi thanks for your message wed be more than happy to help you do you have any specific model in mind awaiting your reply. executive replied hi aymi were curious to know if youre still interested in one of our products if so feel free to get back to us with more details on your request hope to hear from you soon. customer asked i want a chopper. executive replied thanks for getting back to us aymi unfortunately we are unsure of which product you are looking for however we have added a link to our official philips pakistan website you will be able to find all the products we offer in pakistan on this website we hope this helps,you are looking for,philips,whats the price of chopper.,we are unsure of which product you are looking for,philips pakistan website,we have added a link to our official philips pakistan website,4401477
customer asked how i am registered my philips product. . executive replied hello raj thanks for reaching out to us we are more than happy to help you further with this it is very easy to register your product on our website please use the link and it will lead you to our official philips india where you can register your product we hope this helps. executive replied hi raj we hope youre well were curious to know if youve been able to successfully register your device feel free to let us know if you need any further help,philips,philips,how i am registered my philips product.,how i am registered my philips product.,it is very easy to register your product on our website,it is very easy to register your product on our website,4401692
customer asked hello sir. customer asked do you want me to promote your executive the reach of my page is very high your product will be able to reach many people i have promoted two executives so far and my audience got very good reviews. executive replied hello manisha and thanks for your interest were sorry to let you know that we arent interested in your proposition as we are not currently looking for pages to promote our products we would still like to thank you for taking your time to contact us. customer asked thank you,executive,,do you want me to promote your executive,the reach of my page is very high your product will be able to reach many people,we are not currently looking for pages to promote our products,we arent interested in your proposition as we are not currently looking for pages to promote our products,4401806
customer asked hi philips despite of hours of battery life per day i hope philips to consider of reproducing a longer battery life up to at least hours per day usage for the record i have already bought sets of philips fresh air mask at imm best denki store. executive replied hi dins thats great to hear that you already bought two sets of our air mask and we appreciate your feedback this will definitely help us for future product development have a nice day,philips,philips,hours of battery life per day,philips despite of hours of battery life per day,philips to consider of reproducing a longer battery life up to at least hours per day usage,bought two sets of our air mask,4402410
customer asked pls send your location i have vacum cleaner bought months back and not working properly i called your agents and they said we need to ask the social media our repair center location. customer asked can u send pls. customer asked its some where in ras al khor. executive replied hello thank you for contacting us and sorry to know you have a problem with your product you can visit the retailer or al ghandi electronics service center in ras al khor complex al ghandi ras al khor oman hatta road dubai saturday thursday from am pm if you need more help let us know. customer asked yes i need a location map. customer asked i need to know exactly where it is. executive replied please visit the following link. customer asked thank you,vacum cleaner,,pls send your location,i have vacum cleaner bought months back and not working properly,repair center location.,please visit the following link.,4402653
customer asked i received the parcel which is a gift the receipt was taped to the box meaning i would have to tear the box to get it off the box has been damaged on receipt of the parcel which doesnt make it appealing when giving the item as a gift im extremely unhappy with this. executive replied hello hannah thank you for reaching out to us and flagging this we are sorry to hear that especially if this is meant to be a gift although a book shouldnt be judged by its cover and neither a gift we hope that the product its all intact and working fine we appreciate your feedback and we will make sure to address it to the right team if there is anything else that we can assist you with please dont hesitate to let us know,a book,,i received the parcel which is a gift,the box has been damaged on receipt of the parcel,we will make sure to address it to the right team,flagging this,4402655
customer asked when will have stock for coffee machine in uk. executive replied hello julia thank you for your question do you have any specific coffee machine model in mind wed be happy to take a closer look for you hope to hear soon from you. executive replied hello julia we hope all is well we were wondering if we could still be of assistance to you if so please feel free to reach out to us at any time hope to hear from you soon,coffee machine,,when will have stock for coffee machine in uk.,when will have stock for coffee machine in uk.,executive,executive replied hello julia,4403023
customer asked some promotions just dont make sensewhats the need of signing up for a product that need to be in the market and for the company to make the profit if the product is good bring it ontell us the price and where it can be foundsimple. executive replied hello mathews order it here and goes for between ksh and and we will deliver it to you. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,some promotions,,some promotions just dont make sensewhats,some promotions just dont make sensewhats,company to make the profit,order it here and goes for between ksh and and we will deliver it to you.,4403134
customer asked good evening im sosanna the founder of group wonder women its a group for marketing and advertising we share our reviews with our members to encourage them to try your products too so i will be so happy if you want to be our sponsor and send us your products to try it and share our reviews with our group members or you can make a competition on our group and let the winners try your products and after that they will share their opinions about it too thank u any way. executive replied thank you for reaching out if theres any chance for collaboration you will be contacted,wonder women,wonder women,good evening,marketing and advertising we share our reviews with our members to encourage them to try your products,marketing and advertising,if theres any chance for collaboration you will be contacted,4404291
customer asked my mysteriously stopped working out of its one year warranty they literally sent me a youtube video to try to do a self repair now im stuck at the local drivethrough being asked if id like to leave a tip before even being served my expresso every day. executive replied hi rebecca thank you for bringing this to our attention we are very sorry to hear about your experience and we would gladly look into it can you please contact us via our direct messages and elaborate on this matter a little more hope to speak to you soon. customer asked it seems your direct messages are disabled can i give someone a call today. executive replied sorry for the inconvenience rebecca you can try contacting our local team directly we hope this helps,my,expresso,my mysteriously stopped working out of its one year warranty,my mysteriously stopped working out of its one year warranty,they literally sent me a youtube video to try to do a self repair,sorry for the inconvenience rebecca you can try contacting our local team directly we hope this helps,4404377
customer asked by the way is it philips phillips or philips i remember when every electrical appliance was phillips made in england no repairs forever product oriented the business aspect has killed everything buy buy repair before use repair rerepair now you can get philbbs etc. executive replied hello harriet quality is still guaranteed check out. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,phillips,phillips,is it philips phillips or philips,no repairs forever product oriented the business aspect has killed everything,product oriented the business aspect has killed everything,hello harriet quality is still guaranteed check out.,4405073
customer asked i have a device to sterilize baby suppliesi bought it a month ago it was used for four days after that i faced a problem in operating the devicei contacted the branch in dubai and was responded to by sending a someone to take the device and repair. executive replied hello thank you for contacting us and we are sorry to know you have a problem with your product kindly contact our distributor al qadi pharmacy on am for assistance let us know if you need further help. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,device,,i have a device to sterilize baby suppliesi,i faced a problem in operating the devicei,sending a someone to take the device and repair.,sending a someone to take the device and repair.,4405562
customer asked i registered my cpap machine quite some time ago july to be exact i have not heard a single word from anyone completely unacceptable please let me know what is going on with my replacement. executive replied hi susan we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating while we work to provide patients with a replacement device as quickly as possible we will provide as much information as we are able throughout the process as the situation is constantly evolving we will continue to make sure that both you and your care team have the most uptodate information via email until we are able to ship your replacement device,cpap machine,,please let me know what is going on with my replacement.,please let me know what is going on with my replacement.,we work to provide patients with a replacement device as quickly as possible,provide patients with a replacement device as quickly as possible,4406222
customer asked from infancy through childhood research supports the impacts of rhythm on development playing music rocking bouncing lullabies rhyming dancing clapping these are all rhythms and movements that baby will love aventpartner feeding itself is all about rhythm babies have an innate feeding rhythm called drinkswallowbreathe this pattern sets the pace for babys feeding experience from the breast and now the bottle too the new philipsavent natural bottle with natural response nipple is designed to pause milk flow when baby pauses to swallow this new bottle allows baby to set the feeding pace supporting her natural rhythm of drinking learn more at aventcom and follow momsgetreal. executive replied were glad were helping with this stage you got this,philipsavent,,from infancy through childhood,from infancy through childhood,the new philipsavent natural bottle with natural response nipple is designed to pause milk flow,were glad were helping with this stage,4406578
customer asked do you have an update for my machine i am in desperate need of an replacement i cant afford to purchase a new one. executive replied hi gloria thank you for reaching out can you please let us know which product you are referring to looking forward to your reply. customer asked dreamstation cpap. executive replied gloria we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating while we work to provide patients with a replacement device as quickly as possible we will provide as much information as we are able throughout the process as the situation is constantly evolving we will continue to make sure that both you and your care team have the most uptodate information via email until we are able to ship your replacement device,dreamstation cpap.,dreamstation,do you have an update for my machine i am in desperate need of an replacement,we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating,we work to provide patients with a replacement device as quickly as possible,provide patients with a replacement device as quickly as possible,4406833
customer asked how much and where to shop it. executive replied hello antony apologies for the dleayed response get it here for ksh and we will deliver to you you can also visit carrefour or naivas supermarkets to get one. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,carrefour,carrefour,how much and where to shop it.,get it here for ksh and we will deliver to you,get it here for ksh and we will deliver to you,get it here for ksh and we will deliver to you,4406925
customer asked hello. customer asked i need the bottleswhere can i get in nairobi. . executive replied hello wendy thanks for reaching out in order to check the local availability we would like to connect you with our colleagues can you share your email address well then be able to do just that thanks in advance and talk to you soon. customer asked am in nairobi kenya. executive replied thank you for getting back to us we have forwarded your details to our team in kenya and asked them to contact you as soon as possible should you have other questions feel free to reach out to us again well be happy to help. executive replied hello we hope all is well we were wondering if our colleagues have reached out to you yet hope to hear from you soon,bottleswhere,,i need the bottleswhere,customer asked i need the bottleswhere,executive replied hello wendy thanks for reaching out in order to check the local availability,we have forwarded your details to our team in kenya and asked them to contact you as soon as possible,4407087
customer asked cena. executive replied potovana suzo kada kliknete na saznaj vie odmah ispod objave otvorie vam se naa stranica sa ponudom razliitih preiivaa kada odaberete model otvorie vam se cela specifikacija i prodajna mesta gde moete kupiti ureaj odaberite prodajno mesto nprtehnomanija ili gigatron i tu e vam biti prikazane cene trenutna cena za seriju u tehnomaniji iznosi rsd cene su razliite i promenljive u zavisnosti od modela preiivaa prodajnog mesta i akcije lep pozdrav i hvala na interesovanju za nae ureaje,cena.,,cena.,hvala,cene su razliite i promenljive,executive replied,4408414
customer asked morning self care routine cleanse and care for face and neck with products face wash illumic serum brightening rx bb tint sunscreen next its a delicious cup of caffeine free sweet and spicy tea with honey and dried orange slices followed a series of hip opening stretches then its time to care for my teeth and gums using toothbrush with whitening toothpaste followed by floss. executive replied best brusher ever how long have you been using a sonicare. customer asked ive been using it for about years now,sunscreen,,ive been using it for about years now,ive been using it for about years now,ive been using it for about years now,best brusher ever,4408434
customer asked hi im trying to order replacement blades for an series senso touch could you please tell me which are the correct blades for this the only ones i can see on your website for series is are these the correct ones thanks. executive replied hi jag thank you for reaching out yes the replacement heads are compatible with our sensotouch shavers you can find more information here we hope this helps. customer asked thanks. executive replied of course jag please let us know if you have further questions,series senso touch,,im trying to order replacement blades for an series senso touch,the only ones i can see on your website for series is are these the correct ones,the replacement heads are compatible with our sensotouch shavers,executive replied of course jag,4408815
customer asked im confused ive bought those lights on the package it says suitable for enclosed luminaire on the bulb it says not for use in totally enclosed luminaire is it good or not for enclosed luminaire considering returning them now. executive replied hi frdric thanks for bringing this to our attention we apologize for the confusion and the inconvenience caused to you and were eager to help could you reach out to our lighting team at monday friday am pm est excluding major holidays gtgt. executive replied ltlt they specialize in consumer lighting and will be able to provide you with the correct information thank you,im confused,,im confused,im confused,on the bulb it says not for use in totally enclosed luminaire,ltlt they specialize in consumer lighting and will be able to provide you with the correct information thank you,4409203
customer asked when is the xelsis suprema going to be available in the united states or canada. executive replied hi rodney thanks for reaching out to us while the xelsis suprema is out of stock on our website you can find it at other retailers at the link below were doing our best to make the product available in our shop as well but unfortunately we are unable to provide you with an accurate timeline right now does this help. . customer asked ty,xelsis suprema,,when is the xelsis suprema going to be available in the united states or canada.,the xelsis suprema is out of stock on our website,doing our best to make the product available in our shop as well,executive replied,4409422
customer asked hi where should i get this product in coimbatore. executive replied hi karthik thanks for reaching out to us no worries were here to help could you tell us which product youre referring to we can then look into this further awaiting your reply. customer asked body groomer. executive replied hello karthik thank you for your interest in our body groomers please visit the following link to explore all available models if you click on buy from retailers you will be able to see all online retailers where to buy the desired product if you insert your postal code you will be able to find a physical store near you we hope this helps,body groomer.,retailers,body groomer.,if you insert your postal code you will be able to find a physical store near you,physical store near you,executive replied hello karthik thank you for your interest in our body groomers,4409782
customer asked worst product i have buy from the amazon and within a week trimmer not working. executive replied hi bhavesh thanks for taking the time to share your experience were very sorry to hear that your trimmer is malfunctioning and were eager to help could you send us a picture of the back of the device in a private message and tell us more about the issue we can then assist you further with this hope to speak to you soon,trimmer,,worst product i have buy from the amazon and within a week trimmer not working.,worst product i have buy from the amazon and within a week trimmer not working.,were very sorry to hear that your trimmer is malfunctioning and were eager to help,were very sorry to hear that your trimmer is malfunctioning and were eager to help,4409856
customer asked hi guys ive got a philips body groomer could i use this attachment or isnt compatible thanks. executive replied hi giovanni thanks for reaching out to us unfortunately this attachment doesnt seem to be compatible with your body groomer were sorry that we cant inform you otherwise should you have other questions or inquiries feel free to reach out to us again well be happy to assist. customer asked thank you for the answer no problem have a good day. executive replied youre very welcome giovanni feel free to reach out again with any further questions and we wish you a nice day as well,body groomer,philips,hi guys ive got a philips body groomer,this attachment doesnt seem to be compatible with your body groomer,this attachment doesnt seem to be compatible with your body groomer,executive replied hi giovanni thanks for reaching out to us unfortunately this attachment doesnt seem to be compatible with your body groomer,4409857
customer asked hi for the mop n vaccuum its time doing both right u have show room. customer asked what is your opening hours today. customer asked cordless vacuum. executive replied hi junlong thanks for reaching out to us indeed the can vacuum and wipe dust dirt and stains in one go regarding the showroom could you reach out to our team at mondays fridays am pmclosed on saturdays sundays public holidays they specialize in vacuum cleaners and can provide you with the appropriate information thank you. customer asked are u all open today. executive replied thank you for your reply our showroom at lor toa payoh singapore seems to be open until pm today we recommend that you call our line at beforehand to make sure of this. customer asked ok thanks,cordless vacuum.,junlong,cordless vacuum.,cordless vacuum.,our showroom at lor toa payoh singapore seems to be open until pm today,executive replied hi junlong thanks for reaching out to us,4409872
customer asked how much does one costphilips product are always the best philips my number one. executive replied hello philasio apologies for the delayed response order it here for between ksh and and we will deliver to you. executive replied thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,costphilips,philips,how much does one costphilips,apologies for the delayed response,we will deliver to you.,we will deliver to you.,4409891
customer asked still waiting on cpap machine replacement for recalled device when should i get it. executive replied hi anson we understand that waiting for news about when and how your device will be repaired or replaced can be frustrating while we work to provide patients with a replacement device as quickly as possible we will provide as much information as we are able throughout the process as the situation is constantly evolving we will continue to make sure that both you and your care team have the most uptodate information via email until we are able to ship your replacement device,cpap machine,,still waiting on cpap machine replacement for recalled device when should i get it.,waiting for news about when and how your device will be repaired or replaced can be frustrating,we work to provide patients with a replacement device as quickly as possible,provide patients with a replacement device as quickly as possible,4409917
customer asked i purchased philips essential air fryer from the tata cliq website i have two confusions in my mind so please help can i use it without the demo if i unbox it myself will it be out of service warranty waiting for your reply. executive replied hi neena thanks for your message from our side there shouldnt be a problem if you unbox and use the device yourself however we recommend that you contact the retailer and ask them about their policy does this help. customer asked yes thanks so much. executive replied you are welcome neena,philips,philips,two confusions,there shouldnt be a problem if you unbox and use the device yourself,there shouldnt be a problem if you unbox and use the device yourself,we recommend that you contact the retailer and ask them about their policy,4409996
