Message,CaseNumber
customer asked anietimfon sunday hello friends good evening are you searching for a comfortable sugar mummy and daddy have been made available are you good in bed do you really need a genuine rich hot sexy sugar mummy or daddy that can change your life completely what are you waiting for you have to contact mr max on for more information. customer asked hello friends good evening are you searching for a comfortable sugar mummy and daddy have been made available are you good in bed do you really need a genuine rich hot sexy sugar mummy or daddy that can change your life completely what are you waiting for you have to contact mr max on for more information,4387803
customer asked tue and philips renewed a longstanding collaboration in the anniversary year of the tue the signing took place in our very own pulse research lab where research is being conducted into new ultrasound techniques in collaboration with philips and others sylvia van es president of philips netherlands and robertjan smits president of the executive board of tue friday signed a symbolic agreement to continue the strong collaboration between the two parties philips and tue have been working together on research for decades and this collaboration is among the strongest research partnerships between a company and a university worldwide biomedicalengineering biomedical health,4388039
customer said do you know remitano has launch its own native token which you can mine for free remitano is the leading exchange platform globally ensuring a safe easy and fast process for buying and selling cryptocurrencies remitano wishes to begin your journey into this exciting new ficial landscape join remitano now if you missed bice dont miss this download the app do your fone number verification and start mining happy mining,4388131
customer said hi i already register but my dream stattion is yrs oldi need one urgently mine is folling apart tyanks. customer said hi please send us asap some info of how can i get a new one asap. customer said the recall registration is complet. customer said dream station. customer said only american citizens right. agent said hello martesa we appreciate the urgency of the situation so please wed like to make sure and check if youve completed the registration process via our website if so and if your dme authorizes us to replace the device we will update you on the status and expected timeframe this might take a little time unfortunately but is necessary for us to move forward,4388516
customer said good evening please i want air fryer the latest one and latest model of. agent said hello thanks for contacting us kindly note the airfryer price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,4389052
customer said get paid within while waiting for your salary get yourself a smartphone and start your trade now for a better living to make your dreams come true with binary options tradeforex trade bitcoin investment you can invest to earn to earn to earn to earn to earn etc in one week its a legit platform secured and trusted platforminvest now and get paid while waiting for your monthly payment and other activitiesthis is the right time to start your trade drop your whatsapp contact if interested,4389499
customer said email address. customer said i can be contacted through my email address. customer said serial number is. customer said it is a phillips trilogy. customer said our company gives us six filters a month and the filters are absolutely black after one week that cant be good its only a matter of time before my daughter develops something more serious with her lungs and she already has going on,4389626
customer said hi i have registered my ds machine in july im from south carolina usa when will i get my replacement. agent said hello and thanks for reaching out amr if you have registered your product via the portal on our website we will consult with your dme to see who will manage your replacement if they authorize us we will reach out and update you on the status and the timeframe this is a necessary step and might take some time. customer said i believe they closed the sleeping clinic on their medical facility so no one will respond i guess. customer said the machine is fully paid off. agent said thanks for coming back we would advise you to reach out to the phone number shared on the dedicated support page this specialized team can support you with any further questions or concerns,4389652
customer said hi. customer said i am tushaara mom influencer and mom of kids we are into kids play and early learning i am looking forward to collab with you if you are up with collabs pls let me know thanks. agent said hi tushaara thanks for your message and interest in collaborating with us your profile sounds like a lot of fun however currently there are no possibilities for collaborations unfortunately we your interest in our products and wish you luck,4389656
customer asked no price this is a problem who in their right mind would give you all their private info as credit card etc to order then you tell us how much it is no thank you. agent said thanks for reaching out to us lucy you can find price information for the innospire go on this page feel free to let us know if you would like price information from a different region as we will be more than happy to check this further for you,4389740
customer said lovely recipedefinitely recreating it if i get to win the airfryer because thats a sure brand with the philips airfryer you can make cupcakes grilled turkey fish or beef wraps chicken nuggets potato chips french fries plantain boats rollssamosa. customer said lovely recipe definitely recreating it if i get to win the airfryer because its sure a good brand with the philips airfryer you can make cupcakes chickenturkey chicken nuggets chickenbeef wraps potatoes chips french fries plantain boats spring rolls samosa philipsairfryer philipshealthytastymeals philipsairfryerrecipe,4389864
customer said can you please let us know the update on my husband replacement cpap machine his name is ronald tvrdik email is thank you so much. agent said hello and thanks for reaching out jacci if you have registered your product via the portal on our website we will consult with your dme to see who will manage your replacement if they authorize us we will reach out and update you on the status and the timeframe this is a necessary step and might take some time. customer asked what is a dme. agent said hi it stands for durable medical equipment dme providers,4389879
customer said still waiting to hear anything anything at all rereplacing the bpapcpaps since your product is causing lung cancer throughout the globe if you r truly manufacturing at the pace u say then post the data for all to see transparency is valued facts. agent said hello and thanks for reaching out if you have registered your product we will consult with your dme to see who will manage your replacement if they authorize us we will reach out and update you on the status and the timeframe. customer said this is being tracked by many many people and avoidance of answers only increases the discontent distrust in your company,4390053
customer asked my tv screen is crashed how do i fix it please. agent said hello lindalin thanks for contacting us philips ghana doesnt carry this product in its portfolio as such we do not have service centers for tv and audio products however you can share your number and email address via private message and we will share this with our team they will advise on the best course of action for your tv,4390223
customer said i have been credited from this platform so i decided to share with you to join the platform and testify too click on this if trully god almighty is on the throne u will surely thank me for appreciation and also introduce the platform to most of your friends and families only if god does not live anymore im giving you assurance here host of heaven bears me living witness click this link for more information,4390377
customer said hi i keep trying to return a product as its faulty under the email but keeps getting rejected due to the photo and date. customer said ive sent a screen recording on here to prove the date. customer asked please help manor road earls barton. agent said hey lee thanks for reaching out to us were sorry to see that youre unable to complete a return could you clarify that the purchase date was november awaiting your reply. customer said but has a year warranty on it spoke to a lady christine and she said you were happy to replace but needed this photo. customer said november. agent said thanks for clarifying that we have now uploaded this to you case so our team can proceed to assist you further with it they should be in contact with you soon. customer said thank you very much,4390504
customer said video of my order email as cant attach in one photo im trying to get a replacement due to being faulty you can see the date on both emails i have done a few orders but rejected the photos. customer said manor road earls barton. customer asked im not sure how else to prove this please help asap. agent said hey lee thanks for reaching out to us it looks like you have contacted us through another channel and we have assisted you there feel free to confirm this. customer said yes all good you have added the proof to the case waiting for someone to be in touch to confirm all is okay now hopefully they sorted the replacement. agent said great in that case well close this chat here feel free to reach out to us through the other one if needed,4390591
customer said im a great spiritual man in ghana helping people in terms of their problems like call instant money lotto numbers bets traveling to abroad luck of job marriage or giving birth problem church powers work problem business improvement enemies protection sickness treatment pocket no dry luck of leadership courtpolice case money rituals love me alone education problems powers for pastors boys girls matter promotion in work and many more you can call me or whatsapp me on this line or no human blood or parts involved,4391058
customer said still awaiting a response please time is of the essence. customer said you asked me to dm you which i did weeks ago still nothing from you meanwhile my husband continues to suffer please please be a responsible company and do the honorable thing. customer said you asked me to send a private message which i did twice and ive heard nothing my husband who had a stroke continues to suffer without his machine and your company does nothing this is a matter of life and death please please respond immediately. agent said hi lori could you please verify the serial number of your affected device in a photo so we can follow up we will make sure to assist in the best way possible. customer asked there you go please advise what you will do asap thank you,4391303
customer said and are the wirst streaming and tv s you could ever and i mean ever purchase low quality everything dont ruin your christmas or your families christmas by purchasing that bullshit. agent said hi thank you for mentioning us were sorry to hear about this negative experience with your tv could you let us know your country of residence wed like to connect you to our specialist team hope to hear from you soon,4391347
customer said hello how do i activate the pressure sensor on protectiveclean. customer said hello how do i activate the pressure sensor on protectiveclean. agent said hello thanks for your question regarding your sonicare protectiveclean you can activate the pressure sensor by following the steps in page of the user guide we hope this helps feel free to reply if you have any further questions happy brushing,4391399
customer said can someone please give me a time for my new machine i have severe apnea and need the replacement. agent said hello jamie we appreciate the urgency of the situation so please wed like to make sure and check if youve completed the registration process via our website if so and if your dme authorizes us to replace the device we will update you on the status and expected timeframe this might take a little time unfortunately but is necessary for us to move forward. customer said i did the registration a few months ago,4391412
customer said finally found the charger. customer said been plugged in no sign of life at all. agent said hello daniel thanks for getting back to us were glad to send a replacement oneblade to proceed wed need your full name phone number and mailing address. customer said awesome thank you daniel rhodes fairmount ave sw seattle wa apt. agent said youre welcome daniel weve ordered the replacement oneblade and it should be to you in business days you will receive a confirmation email when the order ships also included in the package will be a prepaid return label so we can get the original unit back from you for further research have a great rest of the week and thank you for choosing philips merry christmas,4391503
customer asked is anyone available to chat. agent asked hey how can we be of assistance to you today. customer said hello im having philips and i wonder if i could use the onthego bottles to blend directly on the motor unit. customer said i cannot find this information in the user manual. agent said thank you for your prompt response could you share your country of residence with this well be able to assist you further awaiting your reply. customer said i am from vietnam. customer said are they compatible with the motor unit or theyre just for smoothies storage. agent said thanks for your prompt response the bottles are not made to be used with the motor they are just made for on the go smoothies hope this clears things up. customer said thank you. agent said youre welcome,4391513
customer said hi may i know what is the difference between philips sonicare elite sonic electric toothbrush rrp now. customer said and philips sonicare dailyclean sonic electric toothbrush. agent said hey janelle thank you for reaching out to us of course wed be happy to help weve found a useful link which shows the similarities and differences between these two models feel free to read through that and come back with any questions you may have hope it helps,4391549
customer said thank you for your offer i would like to take the off offer i am looking at the diamondclean listed at. agent said great here is the discount code that you can use from the philips online store discount code please keep in mind that the discount code is casesensitive to qualify for an extended warranty we recommend registering your new product at if you have any additional questions feel free to contact us again have a nice day,4391579
customer said hi may i know where is the retail shop to get the shavers. agent said hey dolyn thank you for reaching out to us wed be happy to assist you here could you let us know your country of residence additionally could you also specify which kind of shavers youre interested in thanks in advance awaiting your reply. customer said singapore. customer said this one. agent said thanks for your prompt response you can use the link you just shared to purchase the shaver. customer said i want to get it at a retail shop as its urgent. agent said in that case you can click on the buy from retailers button which will show you which retailers have it. customer said great thank you. agent said youre very welcome,4391595
customer said please offer the old natural nipples the new nipples dont work well took mins for baby to drink ounces i had to switch to a different bottle brand during the feeding just so she could finish very disappointed in the change the older version of the nipples were perfect. agent said hi we are sorry that you feel this way could you please elaborate on the issue you are experiencing please feel free to send us a private message and we will do our best to help you further hope to speak to you soon. agent said hi were happy to help if youll need assistance merry christmas,4391661
customer asked telefone please. agent said good morning thank you for your interest in our companys products please contact the customer service at mondayfriday so that they can guide you properly we are always at your disposal. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4391746
customer said minjon kocke moja poslastica. customer said minjon kocke moja omiljena poslastica. customer asked najlepsa nova godina je prelepo toplo vecenas nekoliko mladih devojaka u kratkim svecanim haljinicama i sandalama uplovismo u ogromnu salu punu svecano odevenih mladih ljudiigrali smopevaliludovali do zorepala su nova pozstva i nove ljubavipolako je svitalo napoljumorali smo da krenemonaravno sada u parovima sa novim ljubavimaa onda oknapolju je pao sneg bar pola metrazgranute uplasene izule smo sandale i bose krenule po sneguusput je bilo smehaplaa ali tad retko da je neko imao autotako da smo promrzle stigle kucamasve to je ostavilo jednu divnu uspomenu na novu godinumeni je bila srecna upoznala sam ljubav svog zivota i jos smo zajednosamo nas vise nije dvoje vec devetoro,4391758
customer said hi philips avent my name is adriana and i was reaching out in hopes of collaborating with you i absolutely love your bottles not only do i love them but my babies absolutely loved them i have a girl and a boy when it came time to bottle feed i had such a hard time finding a bottle they liked until trying your product i am pregt with my third baby due the end of january and plan to use your bottles once again my instagram targets women who are mainly mothersexpecting mothers i would love to talk further about how we can work together to promote your products i look forward to hearing from you thanks for your time adriana,4391836
customer said hi. customer said good day. customer said comforttouch garment steamer. customer said may i know whether can i remove the brush. customer said i need to steam my long grown. customer said gown. agent said hi angel thanks for reaching out we highly recommend that you reach out to the product team on mondays fridays am pm closed on saturdays sundays public holidays alternatively you can also contact them via whatsapp on hope this helps. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4391901
customer said purchased a phillips razor to ease old age shaving without water soap unfortunate does not ease it please take more opinions to introduce smooth shaving with guarantee may be with extra cost. agent asked hi colonel thanks for reaching out and bringing this into our attention could you kindly elaborate on your request which model are you referring to we take your feedback very seriously. agent said hello colonel we hope all is well we were wondering if we could still be of assistance to you if so please feel free to reach out to us at any time hope to hear from you soon,4392070
customer said dont get suckered by this company recalled my bipap back in june warned us that it could cause multiple serious ailments but still waiting along with millions of other owners for machine that should be preventing medical problems look up the class action lawsuits. agent asked thank you for reaching out to us and sharing your concern doug rest assured that we at philips are taking this matter very seriously and are working hard to set up our repair and replacement programs in the meantime would you kindly share with us your location in a private message wed like to see how we could you assist further,4392144
customer said reforma. customer asked praznici su nam sve blie uz novi mikser ce vasa mama supruga tetkarazne djakonije da nize spemite se jer uskoro pogaa reforma pire razni kolacicina nasu praznicnu trpezu stie. customer asked draga decice uz pomo miksera kuhinjskih krila bicu prava vasa dobra vila praznici su nam sve blie vasa vila ce razne djakonije da nize spremite se jer uskoro pogaa reforma pirena nasu praznicnu trpezu stie,4392153
agent said hi sarah thanks for reaching out thanks for reaching out and for your interest in our lattego as you may know theres a global supply chain delay snarled by the pandemic extreme weather events and even a canal blockage this year. agent said gtgtthese disruptions are affecting many companies and philips is unfortunately not the exception were afraid we cant give you an estimated time frame for restock kindly sign up for notifications on our website to stay up to date on availability hope this helps. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4392277
customer said liegrn waar is download recept. agent said dag jeroen wat vervelend dat je nog geen recepten hebt ontvangen wanneer heb je je hiervoor aangemeld ik kijk uit naar je antwoord groetjes fred. customer said philips home living net. agent said hoi jeroen ik zie inderdaad dat op onze website het probleem met die koffierecepten nog niet is opgelost excuses daarvoor op de duitse website heb ik wel koffierecepten gevonden misschien dat je daarmee uit de voeten kan hier is een linkje groeten jurgen. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4392281
customer said battery backup is less and extra filter are too expensive. agent said thank you for your comment rohit were sorry that you are not entirely happy with your fresh air mask wed be happy to help you here could you kindly share its model number with us we could then take a closer look hope to hear soon from you. agent said hello rohit we hope all is well we were wondering if we could still be of assistance to you if so please feel free to reach out to us at any time hope to hear from you soon. agent said hi rohit are we able to provide you with any further assistance feel free to let us know,4392305
customer said this machine boils the water first and pours boiling water to the coffee so the coffee is burned the temperature that the water reaches and starts pouring is not i used a thermometer so you are just lying the coffee is burned of course because try to boil the water common boilers are it takes soo much time to get a nice cup of burnt cofeee honestly who thought that. agent said hi aris thank you for reaching out and sharing your feedback with us we are very sorry to hear about your unsatisfactory experience with your caf gourmet coffee and we would gladly look into it we kindly ask you to reach out to us via one of our social media channels so we can help you further were available on facebook and twitter hope to speak to you soon,4392513
customer said its not me steam ironing my sheers haha of course i am absolutely love the versatility of my philips perfect care steam generator from my sheets to my sheers to my linen dresses all on the same setting with no worries of anything burning where have you been all my life mumthings philipsgarmentcare gifted philipssteamgenerator ad steamingisnewironing fresh springcleaning sheercurtains homedecor christmasgifts linendress mamabear christmashascomeearly homeappliances outfitoftheday mumfashion whitedress linendress haven christmasdress momlife homeinspiration homeinterior homedesign baywindow viewsofmountains viewsfordays,4392657
customer asked is anyone available to chat. agent said hi edwin thank you for reaching out how can we help you. customer asked how much is the kettle please. agent said we kindly ask you to specify which product you are interested in edwin in addition can you please confirm your country of residence with us. customer said okay i saw the price of the product using the link ghana. agent said thanks for letting us know edwin in case we could assist you with anything else feel free to reach out. customer said im okay thank you very much. agent said hey edwin you can check our kettles right here we hope this helps. customer said thank you. agent said youre welcome edwin were always happy to help have a nice day. customer said thank you have a nice day,4393021
customer asked how many liters is the biggest one. agent said hello olalekan apologies for the delayed response get the xl for here for ksh we will deliver you can also visit carrefour supermarkets to get one. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4393167
customer said is this good for sensitive skin. agent said hello jasmino and thank you for your question wed be happy to help you here to answer your question simply there is no information against using oneblade on sensitive skin however if you have serious troubles with your skin we will always recommend contacting your dermatologist first we hope this helps feel free to let us know in case of any additional questions,4393354
customer asked hy how r u my name is bindiya i want hair straightner which type do u have n whats the price please tel me so i can buy from you thank you. agent said hello bindu apologies for the delayed response we have the hair straightener get it here for ksh and we have the hair brush for ksh order and we will deliver to you. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4393427
customer said hi philiphs team. customer said i have a warranty claim on robot cleaner can someone help me. agent said dear surendra shrestha i suggest you consult with our central service who can certainly provide quick and efficient assistance their contacts szerviz kft budapest karinthy f t our services can be found at the following link i am confident that our service colleagues will be able to help you as soon as possible best reagrds mendi philips social care team. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4393485
customer said hi. customer said i bought this coffee machine. customer said i asked trendyol for fatura. customer said but it says it will ask the seller to give it but i am afraid that those sellers dont have the fatura anymore. agent said hello we can only serve in turkish. customer said ok answer in turkish sikinti degil. agent said ncelikle ilem kaydnz iin isim soy isim cihaz model numaras il ve ile bilgilerinizi rica edebilir miyim. customer said bu kahve makinesini aldm trendyoldan fatura istedim ama satcdan vermesini isteyeceini sylyor ama korkarm bu satclarn artk faturas yok. agent said trendyol garantisiyle satn aldnz iin faturay size efatura olarak iletmeleri gerekmektedir bu yasal olarak mecburidir,4393731
customer said hello. customer said i am interested in the airfyer. agent said hello kuburat saliu mohammed thanks for contacting us kindly note the airfryer price may vary depending on the distributor kindly click this link to buy or visit any spar mega plaza grand square next cash carry alwed roban stores matilda rozi colors or market square supermarket around you to buy your philips appliances thank you,4393739
customer said hi just purchased a philips norelco and i want to confirm it is authentic please can you assist me. agent said hi katie thanks for reaching out first of all congratulations on your new philips norelco you will love it could you share a photo of the product details imprinted on its handle along with your proof of purchase with these details we will be able to tell if your device is an authentic philips product awaiting your reply. agent said thank you for sharing these photos katie it seems legit to us if you would like to be absolutely sure feel free to fill in the requested details on our product authenticity checker let us know how it goes looking forward to your reply,4393866
customer said hi. agent said hi mariola thank you for reaching out how can we help you. agent said hello mariola we hope all is well we were wondering if we could still be of assistance to you if so please feel free to reach out to us again at any time hope to hear from you soon. customer said hi sorry for late txt back i needed a help with replacement parts but i contacted polish customer care and they were able to send me a link i made my order already so thank you a lot merry christmas. agent said were glad to hear that mariola merry christmas to you too,4393881
customer said junk. agent said hello aeneas thank you for your comment were sorry that you seem dissatisfied with your shaver wed be happy to see if we can improve your experience please share its model number and elaborate a bit on the issue itself in a private message thank you in advance we will await your message. agent said hi aeneas just checking in to ask if you still need our assistance if that is the case feel free to reach out,4393901
customer said hi. agent said hi thanks for reaching out how can we be of assistance. customer said philips india make more good and low price products for you customers. agent said thanks for getting back to us starboy were sorry to hear that you feel this way but we appreciate and value your feedback if youre experiencing any issues with one of our products please feel free to reach out to us we will be more than happy to help hope to speak to you soon. agent said hi just checking in to ask if we can still be of assistance feel free to reach out to us,4393929
customer said tis the season to give we want to thank all of our patients that brought in food items diapers and cash for the food drive that we have held at the office over the last few weeks we had many entries into the draw for the electric toothbrush thank you heather from the tablesoupkitchen for stopping by the office yesterday to pick up the donations as well as draw the name for the winner of the philipssonicare electric toothbrush on behalf of the team at sunrisecentredentalmuskoka we want to thank everyone for their support of our wonderful community we wish you all a merry christmas and a safe and happy holiday season muskoka community muskokadentist tablesoupkitchen teamkoncan merrychristmas happyholidays christmassmiles youroralhealth muskokalife,4394157
customer said cod available. agent said hi amit thank you for contacting us as you are looking for a body groomer we would like to inform you that philips is not directly dealing in selling we request you to kindly check the same at the online ecommerce platforms. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4394464
customer said philips india can u plz gv solution here as even i am having same issue. agent said hi jyoti thanks for reaching out to us regarding your hair straightening brush make sure to flatten the selected section of hair between your fingers before placing the hair on the brush so that the hair is spread evenly across the brush let the hair sections cool down before you fingercomb the hair into its final style for longer lasting results you can also mist with hairspray we hope this helps feel free to reply if you have any further questions. customer said ranjana gyanchandani yes same problem waste of money plz dont buy,4394583
customer said lnstagram copyright infringement hello dear user im michela instagrams copyright officer your lnstagram account has been reported as violating our copyrights and this complaint has been approved therefore your account will be deactivated within hours in order for your lnstagram account not to be disabled we need to approve your account as soon as possible confirm your account by completing the confirmation form we sent you attention copyright is very important to us if you do not fill out the form within your account will be deleted,4394660
customer said pp. agent said hello nutan thanks for your question regarding our heated straightening brush you can find more information on this page feel free to reply if you have any questions. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. agent said hi again thanks for being in touch with us we highly value feedback and would like to find out more about your experience with our service if you have minute to spare wed love to find out how we did,4395697
customer said iwouldliketohaveone. agent said hi sadie thank you for reaching out how can we help you. customer said igotcopdhowcanigetone. customer said igotcopdhowcanigetone. agent said thanks for your reply sadie unfortunately we are unable to view the product which you are referring to could you let us know which product you are interested in and your country of residence we can then help you more effectively looking forward to your reply. agent said hi sadie we were wondering if we can still be of assistance should that be the case feel free to reach out,4396170
customer said i have just boughy and set up my phillips i have connected to internet logged on my google account and my amazon account and i want to use alexa how do i do it. customer said on my home screen there is a microphone icon top right but when i click it and speak i get no response i have tried sayig alexa turn up volume and no response also cant make ok google work either. agent said hi there thats because your remote control doesnt have a microphone i recommend that you use google home. customer said ok same questionhow do i sue goofle home if the tv doesnt have a microphone,4396271
customer said good morning i am wondering if you could send me the phone number or contact information for a contact that handles ecomm sales i am the director of merchandising for the kids division and would love to connect thank you kelly. customer said the company i work for is zulily. agent said hi kelly thank you for reaching out and for your interest we recommend contacting our dedicated team directly we hope this helps. customer said thank you. agent said you are more than welcome kelly,4396370
customer said hi there im trying to find out which type of power adapter i need for a multigroom series please thanks. agent said hi dewars thank you for reaching out were happy to help you find what youre looking for can you please share a photo of the product details on the back of the handle so we can narrow our search looking forward to your reply. agent said thank you for sharing this dewars we have found this two power plugs that will fit your multigroom one and two we hope this helps. customer said many thanks. agent said its been a pleasure dewars we are always here if you have any further questions,4396477
customer said do you have a physical address i come come for the blade. agent said hello evan apologies for the delayed response you can get it from carrefour supermarkets too or order here and we will deliver it to you. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4396642
customer said cena. agent said potovana dragana kada kliknete na saznaj vie odmah ispod kratkog videa otvorie vam se naa stranica tu imate odreene ureaje po serijama i onda odaberete koji tano preiiva vas zanima opcija saznaj vie kada otvorite karakteristike za odreeni ureaj sa desne strane e vam sajt pokazati u kojim prodajnim objektima moete kupiti ureaj kliknite sve objekte koji su ponueni jer je cena razliita kod svih u zavisnosti od akcije koja se daje na dan kupovine vrlo lako moete uvek proveriti cene i biti u toku za ureaje za koje ste zainteresovani trenutna cena ureaja sa videa iznosi i to u tehnomaniji lep pozdrav,4396994
customer said great to see the first service in the new building with trinity church of the nazarene in perth last sunday its been a journey for us and the church navigating challenges in and out of covid well done to a great project team who have pushed through and have a blended digital and physical space for the new landscape a pleasure working with you all kind regards the team trinity church of the nazarene perth canon chauvet dj chauvet professional loxone uk philips uk ireland,4397734
customer said amazons baby registry goodie bag for items tend to vary per goodie bag not sure if it depends on location or availability or a combination of both ive seen videos of people who have received more items what did you get from your amazon baby registry bag the baby hat mittens and socks really added to the overall value of the bag as well as the nanobebe pacifier amazon amazonbabyregistry huggies gladproducts noodleandboollc cetaphilus dreft waterwipesusa balmex philipsaventar mam_bottle_ aquaphorus babybum amazon amazonbabyregistry babyregistry baby pregt free freegoodies nesting,4397754
customer said you should make hue christmas lights and decorations for trees i spend a fortune every year on different colour schemes for my tree if i had set of decorations that i could change the colour of each year life would be amazing philipshue alliwantforchristmasishue. agent said hello thanks for taking the time to share your feedback we agree that would be a great idea we recommend reaching out to and sharing this with them already wishing you happy holidays on behalf of us. customer said thank you so much philips hue products are easily the best in the market for lighting my life would be a lot worse without them,4398182
customer asked hi im derick from nairobi kenya how much do you sell body shave for men. agent said hello dero we have shavers trimmers to suite your budget here and we will deliver you can also visit carrefour to get them. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4398574
customer said good evening. customer asked how can i buy this item please. agent said good morning elisa thank you for your message and your interest in our infracare infrared lamp unfortunately however the product is no longer available in our online shop we can therefore only advise you to check if other retailers may still have the item in stock please feel free to let us know if you have any other questions we can assist you with kind regards your philips careteam. agent said thanks for our conversation we hope weve been able to help you here on social media and would really appreciate it if you could fill out this quick survey it will only take a minute to complete,4399683
customer said welcome baby gift basket phuphos love all the way from toronto canada delivered in rawalpindi pakistan to welcome the birth of a new born send luxurious baby gift basket filled with premium products for a high end surprise new mothers will appreciate the elegant sentiment of your well wishes this package includes baby clothing sets from babyshop philipsavent feeding bottle johnsonsbaby gift set a pair of booties pack bibs onesies short sleeve bodysuits pack plush baby blanket with congratulations card welcomebaby giftideas giftwrapping deliveredtoyourdoor babyshop babygiftshop babygiftideas baby importedgoods mothercare babygiftset rawalpindi sendgiftstopakistan,4399863
customer asked the paper instructions are horrible and next to impossible to read how do i know what blades are what is there a number somewhere or a letter whats the difference in the blades i dont want any hair so do i just not use any blades. agent said hey rob thank you for your question depending on which model you decide to go for there are different attachments included for example the oneblade face razor comes with stubble combs mm for a oclock trim mm for a tight trim and mm or long stubble you are also free to use the oneblade without any attachments and just use the blade itself for a closer shave hope this helps feel free to let us know if you have any further questions or concerns,4399977
customer asked kod nas nece biti mesi mesi nego muti muti nece nista da ti skodi puno slatkisa tortica kolaca ono sto se najtee sprema najsladje se sprema za praznike maminih i bakinih tortica nikad dosta kremasto i samo kremasto da polizes sa sve okoladna torta madjarica grka torta kapei djoto rafaelo ferero krempiteampitemafini punjenje krofnice i jos mnogo toga od svega pomalo i imacemo stomak kao a mogu i da nas peku kao. customer said okoladna torticaa omiljeno. customer asked saznali smo da postajemo roditeljizaprosena sam i postala sam tetka posle par h. customer said saznali smo da postajemo roditelji zaprosena sam i postala sam tetka posle par h jedna no,4400031
customer said free xmas telegram bot quick tip and with this bot it gives you daily meaning in days you will have without referring anyone and imagine if you refer people and also add up the daily double money guys join this for some xmas cash out be its simple just press the link press start join the six channel links that appear after that press check press referral copy your referral link share it to your friends and make some cash press bonus to claim your free each day each referral gives you what are you waiting for free money only if you have smart phone click here its real and legit and full range of excitement,4400045
customer said our assistants cheryl and dannelle are feeling festive with our holiday mask we are getting excited for our christmas sweater party tomorrow dont forget to post a photo of you or family members in christmas sweaters for a chance to win crest professional whitening kit and philips sonicare electric toothbrush flexchallenge botox jeuveau suresmile dentist happy hygiene smile christmas christmasgift dentalinjector juvederm,4400176
customer said dropped mine from sink height and never worked again. agent said hey jimmy thank you for your comment what a shame that your toothbrush is no longer working allow us to take a closer look could you reach out to us through private messages and share a picture of the product details of your toothbrush hope to hear from you soon. agent said hello jimmy we hope youre doing well if we can assist you with this kindly send us the requested information in a private message well be happy to help hope to speak to you soon,4400380
customer said i love my xx large phillips airfryer but when i cook pork belly in it it really smokes is there some way to stop it please. agent said hey pam thank you for reaching out to us wed be happy to assist how we can assist you best could you reach out to us through private messages and send us a picture of the product details of your airfryer additionally could you also share your country of residence hope to hear from you soon,4400470
customer asked how much is it. agent said hey patrick thank you for reaching out to us we would be happy to assist you here could you specify which product you are referring to awaiting your reply. customer said kindly send me the link to purchase the philip shaving machine. agent said thanks for your prompt response here is a link to all the available shavers on our shop hope this helps feel free to let us know if you have any further questions,4400494
customer said i have called several times to see if i can get a update on the status of a replacement cpap registration is date of registration is. agent said hi matt we are sorry to hear that you are having issues reaching our dedicated support team if you are unable to get through we would like to ask you to try again later please be assured that we are treating this matter with the highest possible seriousness and that we are dedicating significant time and resources to address this issue. customer said ok,4400559
customer said i have called several times to see if i can get a update on the status of a replacement cpap registration is date of registration is. agent said hi matt we are sorry to hear that you are having issues reaching our dedicated support team if you are unable to get through we would like to ask you to try again later please be assured that we are treating this matter with the highest possible seriousness and that we are dedicating significant time and resources to address this issue,4400561
